"X..i..","source"
"Go Elsa! 😂😘","VS"
"too thin to play football. Stick with Legends Football League!","VS"
"i miss candice","VS"
"wtf??? lol","VS"
"Wtf","VS"
"No Sara ?? Boo.. Terrible commercial , these beautiful ladies don't need to be turned into men.. Thanks, but no thanks ..","VS"
"Adriana Lima owns the commercial","VS"
"LOL Lima surveys the D","VS"
"That was so awkward","VS"
"inreiblemente","VS"
"Behati is my fav","VS"
"This is ridiculous","VS"
"Too much clothes.","VS"
"Lindas","VS"
"What is this crap!!!????😨","VS"
"this made me cringe through the entire video","VS"
"Where's behati?? ://","VS"
"This is so stupid. Made me cringe the whole time. The dancing and music is horrible. I prefer the last year's video it was so fierce compared to this childish music video or whatever. And the new angels suck but at least adriana and ale was there but still candice, lily and behati wasn't there. So fuck this shit.","VS"
"Where's Candice! Seriously , she's like the best vs angel but she's not here! And seriously VS ads are getting corny af now. Last years was better","VS"
"I think the old version much more better.
the team is wow. miss hill is really not fit for this commercial.","VS"
"ayeeeee elsa","VS"
"1.Vs use hill tookes and hosk more than lima & ambrossio in this video. 2. Where the fuck behati candice? Behati and candice can kill this commercial with her personality. 3. Not hating on tookes, but she look so weak 4. I dont know whats going on with vs","VS"
"""Lima surveys th D""","VS"
"And Lima surveys the D","VS"
"Alessandra and adriana ❤️❤️❤️❤️❤️❤️❤️","VS"
"Why does Victoria secret have to ruin everything?!","VS"
"We wants ass","VS"
"Why the fuck are you taking a shotgun snap when your trying to run the clock out???? Just take a knee!!","VS"
"need more angels and less clothes please!","VS"
"They still play better than the Browns lmao","VS"
"Lima surveys the D 0:43","VS"
"Adriana is forever Queen 👑","VS"
"Sexy touchdown","VS"
"Elsa is ❤","VS"
"candice?","VS"
"good thing is that lily isn.t there !","VS"
"Love this
Commercial😍 but where is bee ??","VS"
"I'd love for Lima to survey my D","VS"
"Where the hell Is Sara Sampaio and Candice Swanepoe? They're the best after Adriana.","VS"
"Where in the world is Candice?!","VS"
"#notrealfootball","VS"
"Ok this was dumb... I didn't expect it to be so bad.. But it was..","VS"
"That's one bad commercial. What's going on with VS? This is not sexy or anything. Just bad","VS"
"very bad commercial! and where is Candice?!? :/","VS"
"Adriana Lima is everything. So beautiful inside and out.","VS"
"Am I the only one who liked this??","VS"
"Well, this has all manner of fail splayed all over it.

See, here's a tip:  You have to put them in BRAS and PANTIES.","VS"
"where's Sara? Only new angel who's worth It","VS"
"where's Sara? Only new angel who's worth It","VS"
"This is the worst commercial of VS, by far... This is not what you want to see? You want to see confident, sexy, bombshell women owning it. Not some kids dancing around.","VS"
"What the fuck is this","VS"
"It's pathetic that vs only uses Alessandra and Adriana to have more viewers. Vs isn't vs anymore.","VS"
"where's Sara???","VS"
"Sorry i don't like it where's Candice & Behati??","VS"
"score more
😜","VS"
"This is pathetic. Its sad to see our society is at a point where guys are indoctrinated to payup for intimacy one way or the other.  What does that make these women ?","VS"
"What is this 😂😂😂 last year's was so much better","VS"
"Adriana is bae","VS"
"I am not ready for ale and adri to leave like ever. I love them too much.","VS"
"Please, sign up in the fallopian participated in the fallopian I promise you","VS"
"ترجم!

ارجوك اشترك في قناتي وساشترك ففي قناتك انا اعدك
عرض الترجمة لـ ارجوك اشترك في قناتي واشترك في قناتي انا اعدك
الترجمة بدلاً من ذلك من ارجوك اشترك في قناتي وساشترك ففي قناتك انا اعدك
Please, sign up in the fallopian participated in the fallopian I promise you","VS"
"Romee😍😍","VS"
"🥀 Absolutely Breathtaking","VS"
"Romee ❤️","VS"
"anybody know if this perfume smells okay?","VS"
"finally Romee is in a fragrance commercial","VS"
"Show de vídeo mais obrigado por mandar","VS"
"This new scent is amaaaaaazing!!!","VS"
"Romee looks like the lovechild of Lily Donaldson and Bregje Heinen","VS"
"Can somebody tell me if Jac and Kate really quit and why or if it's just a rumour?","VS"
"I love how subtile it is!","VS"
"the best new angel <3","VS"
"I wish one direction could have  performed but there on their ""break""","VS"
"Free Live Sex Cam Show, Exclusive Unlimited Access:      BabeGirlsHere.BlogSpot------------------c0m","VS"
"Romee is my favorite new angel","VS"
"What name of song??? SOS","VS"
"Don't hate on new angels guys, we all know that long ago Andriana was also a new angel","VS"
"why i cant find that obssessive song anywhere?? Need ur help","VS"
"Why not taylor huhu. But romee did a great job!","VS"
"ROSIE?","VS"
"romeeeeeeee!!!! 😍😍😍😍😍😍😍","VS"
"W VICTORIA SECRET","VS"
"I love Victoria's secret 😍","VS"
"romee strijd is so gorgeous","VS"
"I AM OBSESSED WITH ROMEE STRIJD! I wanna meet her in the netherlands","VS"
"LOL I thought it was Candice. Oh well..","VS"
"I love victoria secret","VS"
"this is gonna be me when i turn 18","VS"
"Did you guys know that Josephine Skriever became a new angel? It's really sad because VS hasn't promoted her at all lately and hasn't even given her an induction video. I wouldn't know she was an angel unless it was for Instagram. It just shows how little the status of angel means to VS anymore. Sad, really.","VS"
"love victoria secret","VS"
"The ""new angels hate"" isn't even about the new girls, it's just that the brand is aiming for their teenage group, because that's the girls who buy their products now a days. I'm sick of disliking Victoria's Secret for going new ways. If they want a younger feel to their brand, that's great, but it's not for me, which is fine, tons of other lingerie brands. :)","VS"
"OMG Romee is everything!","VS"
"this new perfume smells amazing!! 💟","VS"
"whore","VS"
"romee strijd ! she is amazing. i want meet her in the netherlands.  and you have almost 1million subscribers! thats so cool❤","VS"
"Taylor Swift already did that one.","VS"
"god romee is so gorgeous","VS"
"( ͡° ͜ʖ ͡°)","VS"
"Things I want in the 2016 VS Fashion Show
Behati wearing the fantasy bra- (MUST HAVE)
Justin Bieber and Taylor Swift performing- (Write down who you want)","VS"
"love it","VS"
"Candice <3","VS"
"Loved it! Oh and I can't wait to see DEMI LOVATO's newest CLIP for her third and favorite song of the album (Confident) STONE COLD, the clip is coming out TODAY and she says it's the MOST EMOTIONAL clip she EVER maid, and we thought we had seen it all for Skyscraper, well, guess not! Slay Queen, slay 👑","VS"
"I LOVE VICTORIA SECRET. AND IM 12","VS"
"Romee is so gorgeous 😍","VS"
"Don't hate on the newest Angels, they're trying to do their best and I think they're doing it really goood.
Also don't compare Candice to Romee, they're both different and one of them is just starting. Romee looks beautifuuuul❤","VS"
"😍😍😍","VS"
"Why everyone hate the newest angels? I mean, its not like Adriana, Candice, Alessandra, and all the other queen will be forever on VS, I really wish that they were eternal, but they're not, just give the new ones a chance 🙌☺. Ok, now that I just said thay... This video was boring as fuck to be honest, don't get me wrong xD","VS"
"como queria ser uma angel","VS"
"Candice donde esta?? Ella es un ángel le adoro😘😗😙","VS"
"😍😍😍","VS"
"I'm so tired of seeing the newest everywhere. 😐","VS"
"love, queria ser uma angel","VS"
"first😀😛","VS"
"sexy","VS"
":O","VS"
"Where's lais :(","VS"
"They all r so beautiful.....but seriously this is soo overrated and hyped","VS"
"Demi❤","VS"
"This is one of my most watched vs videos just because there's a lot of sara in it and she is my fave from the new angels and they use her so little.","VS"
"where's Adriana and Alessandra","VS"
"Где мне это посмотретт","VS"
"Please Have atleast 3 segments for each angel on vs fashion show.. 2 is not enough for the Last vs show .. Everybody wants to see them on different outfit.. Love you vs ❤️❤️❤️","VS"
"I love your bodies Candies, lily and you , Behati your my favorite model ever.","VS"
"Even Bee ships Sara and Nick 😛","VS"
"jac ???","VS"
"Beautified   Robots.","VS"
"Where r Alessandra, Doutzen and Adriana:((( The best of all the time r Alessandra, Doutzen, Adriana, Candice, Giesele and Mirrand. I don't like the others as much.. maybe Behati is also ok","VS"
"Pretty shure that men go to this channel to jak off","VS"
"I need Adriana","VS"
"she is very good","VS"
"she is very sexy","VS"
"she is very sexy","VS"
"Looks like a bunch of teenagers on a vacay. VS Angel's standard is going down.","VS"
"Nick Jo ....","VS"
"I ship Candice and Behati. <3 #BEHANDICE","VS"
"I don't see Taylor 😧","VS"
"hello someone could tell me the name of the model of the 0:52 minute. goes along with Behati Prinsloo","VS"
"i loveeeeeee all the victori's secret models they are naturaly so beautiful but where are Alessandra ans Adriana?","VS"
"Mamma santa che bellezza!","VS"
"I would drink Cadice's bathwater if she asked me to.","VS"
"im inlove to taylor hill 3","VS"
"Josephine, Jasmine and Taylor are my fav❤️","VS"
"where can I see the full thing I missed it on tv","VS"
"gorgeous expecting mommy to be behati^^ love candice but i miss ale and adri my brazilian angels","VS"
"No adriana lima = No thing","VS"
"I didn't know Vita was an angel","VS"
"Demi 💜💜","VS"
"i wish i was as beautiful as them.guess thatll never happen :/","VS"
"where is lily?","VS"
"WHERE ARE ADRIANA AND ALESSANDRA???????????? UMMM??????? SMFH","VS"
"I am so motivated!","VS"
"I love Bee, Candice and Taylor so muchh!! Specially Bee","VS"
"demi lovato 0:47 was amazing","VS"
"adriana ? karlie ? cara ?","VS"
"behatti is my gf's idol","VS"
"Candiceswanepoel ❤️💎","VS"
"MIA Adriana and Ale. Not cool psh","VS"
"when will it air in the UK?","VS"
"I need Candice more!!!!","VS"
"Our brain develops around the age of 40 and before that we are not able to make a correct judgment, that is why authorities use young people in wars and revolutions, or Isis, or they become gang members, drug addicts, or Victoria secret in order to sell their bodies for a cheap price. Because no decent person would go to these manmade wars to kill another human. Here is one lady who got $55 million for embarrassments of showing her body on internet. yet these young girls sell it willfully. But when they get to the age of 40 then they would feel sorry for themselves.","VS"
"Adri and ale? Where are they?","VS"
"I know Nick is all about heart & soul. But see Nick. Young, attractive, no baggage girls just waiting for you. Plenty who have great personalities too. Please leave these old ladies with kids, who jump from relationship to relationship alone. You're wasting your youth, life & setting yourself up for heartbreak. Rant over.","VS"
"As someone who struggled with eating disorders her whole life why is demi performing for victorias secret? I mean they are the ones who created the ""perfect body"" image for so many years and caused teenage girls to have eating disorders.. I just dont get it","VS"
"I want to part of this one day so bad!!! <3","VS"
"literally candice is one of my favorite victoria secret models and all of them . They have been working so hard just to get where they are right now","VS"
"I watched this tonight it was good...I was wishing I could wear the bikinis....I liked seeing Demi wish there were no Demi haters","VS"
"I just finished watching it...those girls are foxes!","VS"
"Muchas elegancia","VS"
"Muchas elegancia","VS"
"ummm here for Ariana lmao 
wheres the preview of Dangerous Woman","VS"
"just upload the video which demi sings  .....!!!","VS"
"Jasmine. 💜","VS"
"aburrido sin adriana y sin alessandra","VS"
"LAME","VS"
"Does anyone know how i can watch it in the UK live?","VS"
"Why is there no Alessandra!!!","VS"
"niceeee","VS"
"Candice ❤️❤️❤️❤️","VS"
"Candice rainha  perfeita gostosa  te amo beijos","VS"
"Behati and Candice😍😍😍","VS"
"who the girl at 0:16?","VS"
"when Jac and Adriana and Alessandra are not there :(","VS"
"adriana and aly ?????","VS"
"Demi <3","VS"
"Top models from vs in the last decade or so: in no order
•Miranda Kerr
•Gisele
•Adriana
•alessandra 
•Doutzen
•Candice
•Behati
•","VS"
"No Adri? No ale? Two best vs currently have","VS"
"hahaha the ending😍 love Behati","VS"
"omg behati only screems","VS"
"Didn't see Martha in this clip, but she has to be there.","VS"
"the only way to watch it is on live?","VS"
